fecha,hora,objeto,confidence,dest_q1_x,dest_q1_y,dest_q2_x,dest_q2_y,dest_q3_x,dest_q3_y,dest_q4_x,dest_q4_y,centro_x,centro_y
03/12/23,04:57:22,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,04:57:22,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,04:57:22,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,04:57:22,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,04:57:27,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,04:57:27,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,04:57:30,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,04:57:30,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,04:57:30,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,04:57:34,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,04:57:34,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,04:57:34,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,04:57:38,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/12/23,04:57:38,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/12/23,04:57:38,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/12/23,04:57:41,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/12/23,04:57:41,person,0.9463729858398438,0,148,11,154,11,143,0,143,5,153
03/12/23,04:57:41,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/12/23,04:57:45,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/12/23,04:57:45,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/12/23,04:57:45,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
03/12/23,04:57:49,person,0.9875617623329164,81,75,115,83,115,49,81,49,98,79
03/12/23,04:57:49,person,0.9759254455566406,0,146,14,152,14,138,0,138,7,151
03/12/23,04:57:49,person,0.928288459777832,191,118,219,124,219,96,191,96,205,121
03/12/23,04:57:53,person,0.9853234887123108,81,75,116,83,116,48,81,48,98,79
03/12/23,04:57:53,person,0.9810000658035278,0,149,18,155,18,137,0,137,9,153
03/12/23,04:57:53,person,0.8667431473731995,194,118,221,125,221,98,194,98,207,122
03/12/23,05:27:06,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,05:27:06,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,05:27:06,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,05:27:06,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,05:27:09,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,05:27:09,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,05:27:13,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,05:27:13,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,05:27:13,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,05:27:17,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,05:27:17,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,05:27:17,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,05:28:40,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,05:28:40,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,05:28:40,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,05:28:40,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,05:28:44,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,05:28:44,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,05:28:47,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,05:28:47,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,05:28:47,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,05:29:45,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,05:29:45,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,05:29:45,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,05:29:45,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,05:29:48,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,05:29:48,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,05:29:52,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,05:29:52,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,05:29:52,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,05:29:55,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,05:29:55,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,05:29:55,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,05:29:59,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/12/23,05:29:59,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/12/23,05:29:59,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/12/23,05:30:03,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/12/23,05:30:03,person,0.9463729858398438,0,148,11,154,11,143,0,143,5,153
03/12/23,05:30:03,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/12/23,05:52:25,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,05:52:25,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,05:52:25,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,05:52:25,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,05:52:28,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,05:52:28,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,05:52:32,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,05:52:32,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,05:52:32,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,05:52:35,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,05:52:35,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,05:52:35,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,05:52:39,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/12/23,05:52:39,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/12/23,05:52:39,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/12/23,05:53:16,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,05:53:16,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,05:53:16,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,05:53:16,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,05:53:20,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,05:53:20,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,05:53:23,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,05:53:23,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,05:53:23,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,05:53:27,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,05:53:27,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,05:53:27,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,05:53:30,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/12/23,05:53:30,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/12/23,05:53:30,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/12/23,05:53:34,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/12/23,05:53:34,person,0.9463729858398438,0,148,11,154,11,143,0,143,5,153
03/12/23,05:53:34,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/12/23,05:53:37,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/12/23,05:53:37,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/12/23,05:53:37,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
03/12/23,05:53:41,person,0.9875617623329164,81,75,115,83,115,49,81,49,98,79
03/12/23,05:53:41,person,0.9759254455566406,0,146,14,152,14,138,0,138,7,151
03/12/23,05:53:41,person,0.928288459777832,191,118,219,124,219,96,191,96,205,121
03/12/23,05:59:29,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,05:59:29,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,05:59:29,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,05:59:29,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,05:59:33,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,05:59:33,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,05:59:36,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,05:59:36,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,05:59:36,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,05:59:40,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,05:59:40,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,05:59:40,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,06:01:29,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,06:01:29,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,06:01:29,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,06:01:29,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,06:01:32,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,06:01:32,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,06:01:36,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,06:01:36,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,06:01:36,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,06:01:39,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,06:01:39,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,06:01:39,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,08:45:53,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,08:45:53,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,08:45:53,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,08:45:53,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,08:46:04,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,08:46:04,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,08:46:08,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,08:46:08,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,08:46:08,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,08:46:11,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,08:46:11,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,08:46:11,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,08:48:01,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/12/23,08:48:01,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/12/23,08:48:01,person,0.9484180808067322,0,153,8,161,8,153,0,153,4,160
03/12/23,08:48:01,person,0.6156815886497498,185,122,214,128,214,99,185,99,199,125
03/12/23,08:48:05,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/12/23,08:48:05,person,0.8453989624977112,186,122,215,129,215,100,186,100,200,126
03/12/23,08:48:08,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/12/23,08:48:08,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/12/23,08:48:08,person,0.7414422035217285,0,157,8,163,8,155,0,155,4,162
03/12/23,08:48:12,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/12/23,08:48:12,person,0.9142638444900512,186,119,216,126,216,96,186,96,201,123
03/12/23,08:48:12,person,0.8708072900772095,0,157,9,163,9,154,0,154,4,162
03/12/23,08:48:16,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/12/23,08:48:16,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/12/23,08:48:16,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/12/23,08:48:19,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/12/23,08:48:19,person,0.9463729858398438,0,148,11,154,11,143,0,143,5,153
03/12/23,08:48:19,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/12/23,08:48:23,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/12/23,08:48:23,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/12/23,08:48:23,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
03/12/23,08:48:27,person,0.9875617623329164,81,75,115,83,115,49,81,49,98,79
03/12/23,08:48:27,person,0.9759254455566406,0,146,14,152,14,138,0,138,7,151
03/12/23,08:48:27,person,0.928288459777832,191,118,219,124,219,96,191,96,205,121
03/12/23,08:48:30,person,0.9853234887123108,81,75,116,83,116,48,81,48,98,79
03/12/23,08:48:30,person,0.9810000658035278,0,149,18,155,18,137,0,137,9,153
03/12/23,08:48:30,person,0.8667431473731995,194,118,221,125,221,98,194,98,207,122
03/12/23,08:48:34,person,0.9943439364433287,0,154,22,161,22,139,0,139,11,159
03/12/23,08:48:34,person,0.9912600517272948,83,73,117,81,117,47,83,47,100,77
03/12/23,08:48:34,person,0.7123605608940125,197,114,222,119,222,94,197,94,209,116
03/12/23,08:48:38,person,0.9951825737953186,0,156,24,163,24,139,0,139,12,160
03/12/23,08:48:38,person,0.9897590279579164,83,73,117,81,117,47,83,47,100,77
03/12/23,08:48:38,person,0.7876431941986084,109,43,135,49,135,23,109,23,122,46
03/12/23,08:48:38,person,0.698930025100708,197,114,224,120,224,93,197,93,210,117
03/04/24,20:03:16,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:03:16,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:03:16,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:03:16,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:03:29,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:03:29,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:03:29,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:03:29,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:04:13,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:04:13,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:04:13,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:04:13,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:08:51,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:08:51,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:08:51,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:08:51,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:09:52,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:09:52,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:09:52,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:09:52,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:10:38,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:10:38,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:10:38,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:10:38,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:18:47,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:18:47,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:18:47,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:18:47,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:18:50,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/04/24,20:18:50,person,0.8453991413116455,186,122,215,129,215,100,186,100,200,126
03/04/24,20:18:52,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/04/24,20:18:52,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/04/24,20:18:52,person,0.7414425611495972,0,157,8,163,8,155,0,155,4,162
03/04/24,20:18:54,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/04/24,20:18:54,person,0.9142639636993408,186,119,216,126,216,96,186,96,201,123
03/04/24,20:18:54,person,0.8708076477050781,0,157,9,163,9,154,0,154,4,162
03/04/24,20:18:56,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/04/24,20:18:56,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/04/24,20:18:56,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/04/24,20:18:58,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/04/24,20:18:58,person,0.9463728666305542,0,148,11,154,11,143,0,143,5,153
03/04/24,20:18:58,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/04/24,20:19:00,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/04/24,20:19:00,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/04/24,20:19:00,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
03/04/24,20:19:02,person,0.9875617623329164,81,75,115,83,115,49,81,49,98,79
03/04/24,20:19:02,person,0.9759254455566406,0,146,14,152,14,138,0,138,7,151
03/04/24,20:19:02,person,0.928288459777832,191,118,219,124,219,96,191,96,205,121
03/04/24,20:19:04,person,0.9853234887123108,81,75,116,83,116,48,81,48,98,79
03/04/24,20:19:04,person,0.9810000658035278,0,149,18,155,18,137,0,137,9,153
03/04/24,20:19:04,person,0.8667430877685547,194,118,221,125,221,98,194,98,207,122
03/04/24,20:19:06,person,0.9943439364433287,0,154,22,161,22,139,0,139,11,159
03/04/24,20:19:06,person,0.9912600517272948,83,73,117,81,117,47,83,47,100,77
03/04/24,20:19:06,person,0.7123606204986572,197,114,222,119,222,94,197,94,209,116
03/04/24,20:19:08,person,0.9951825737953186,0,156,24,163,24,139,0,139,12,160
03/04/24,20:19:08,person,0.9897590279579164,83,73,117,81,117,47,83,47,100,77
03/04/24,20:19:08,person,0.7876433730125427,109,43,135,49,135,23,109,23,122,46
03/04/24,20:19:08,person,0.698930025100708,197,114,224,120,224,93,197,93,210,117
03/04/24,20:19:10,person,0.9960561394691468,0,154,27,162,27,135,0,135,13,159
03/04/24,20:19:10,person,0.9903967976570128,87,71,121,79,121,45,87,45,104,75
03/04/24,20:19:12,person,0.9949516654014589,0,152,32,161,32,129,0,129,16,157
03/04/24,20:19:12,person,0.9885463714599608,87,71,121,79,121,45,87,45,104,75
03/04/24,20:19:14,person,0.9956984519958496,0,152,35,162,35,127,0,127,17,158
03/04/24,20:19:14,person,0.9899926781654358,88,74,120,81,120,49,88,49,104,77
03/04/24,20:19:14,person,0.6226562261581421,238,59,247,64,247,55,238,55,242,63
03/04/24,20:20:44,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:20:44,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:20:44,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:20:44,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:20:46,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/04/24,20:20:46,person,0.8453991413116455,186,122,215,129,215,100,186,100,200,126
03/04/24,20:20:48,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/04/24,20:20:48,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/04/24,20:20:48,person,0.7414425611495972,0,157,8,163,8,155,0,155,4,162
03/04/24,20:20:50,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/04/24,20:20:50,person,0.9142639636993408,186,119,216,126,216,96,186,96,201,123
03/04/24,20:20:50,person,0.8708076477050781,0,157,9,163,9,154,0,154,4,162
03/04/24,20:20:52,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/04/24,20:20:52,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/04/24,20:20:52,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/04/24,20:20:54,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/04/24,20:20:54,person,0.9463728666305542,0,148,11,154,11,143,0,143,5,153
03/04/24,20:20:54,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/04/24,20:20:56,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/04/24,20:20:56,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/04/24,20:20:56,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
