fecha,hora,objeto,confidence,dest_q1_x,dest_q1_y,dest_q2_x,dest_q2_y,dest_q3_x,dest_q3_y,dest_q4_x,dest_q4_y,centro_x,centro_y
03/04/24,20:20:58,person,0.9875617623329164,81,75,115,83,115,49,81,49,98,79
03/04/24,20:20:58,person,0.9759254455566406,0,146,14,152,14,138,0,138,7,151
03/04/24,20:20:58,person,0.928288459777832,191,118,219,124,219,96,191,96,205,121
03/04/24,20:21:00,person,0.9853234887123108,81,75,116,83,116,48,81,48,98,79
03/04/24,20:21:00,person,0.9810000658035278,0,149,18,155,18,137,0,137,9,153
03/04/24,20:21:00,person,0.8667430877685547,194,118,221,125,221,98,194,98,207,122
03/04/24,20:25:11,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:25:11,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:25:11,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:25:11,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:25:13,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/04/24,20:25:13,person,0.8453991413116455,186,122,215,129,215,100,186,100,200,126
03/04/24,20:25:15,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/04/24,20:25:15,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/04/24,20:25:15,person,0.7414425611495972,0,157,8,163,8,155,0,155,4,162
03/04/24,20:25:17,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/04/24,20:25:17,person,0.9142639636993408,186,119,216,126,216,96,186,96,201,123
03/04/24,20:25:17,person,0.8708076477050781,0,157,9,163,9,154,0,154,4,162
03/04/24,20:25:19,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/04/24,20:25:19,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/04/24,20:25:19,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/04/24,20:25:21,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/04/24,20:25:21,person,0.9463728666305542,0,148,11,154,11,143,0,143,5,153
03/04/24,20:25:21,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/04/24,20:25:24,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/04/24,20:25:24,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/04/24,20:25:24,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
03/04/24,20:25:26,person,0.9875617623329164,81,75,115,83,115,49,81,49,98,79
03/04/24,20:25:26,person,0.9759254455566406,0,146,14,152,14,138,0,138,7,151
03/04/24,20:25:26,person,0.928288459777832,191,118,219,124,219,96,191,96,205,121
03/04/24,20:25:28,person,0.9853234887123108,81,75,116,83,116,48,81,48,98,79
03/04/24,20:25:28,person,0.9810000658035278,0,149,18,155,18,137,0,137,9,153
03/04/24,20:25:28,person,0.8667430877685547,194,118,221,125,221,98,194,98,207,122
03/04/24,20:25:30,person,0.9943439364433287,0,154,22,161,22,139,0,139,11,159
03/04/24,20:25:30,person,0.9912600517272948,83,73,117,81,117,47,83,47,100,77
03/04/24,20:25:30,person,0.7123606204986572,197,114,222,119,222,94,197,94,209,116
03/04/24,20:25:32,person,0.9951825737953186,0,156,24,163,24,139,0,139,12,160
03/04/24,20:25:32,person,0.9897590279579164,83,73,117,81,117,47,83,47,100,77
03/04/24,20:25:32,person,0.7876433730125427,109,43,135,49,135,23,109,23,122,46
03/04/24,20:25:32,person,0.698930025100708,197,114,224,120,224,93,197,93,210,117
03/04/24,20:25:34,person,0.9960561394691468,0,154,27,162,27,135,0,135,13,159
03/04/24,20:25:34,person,0.9903967976570128,87,71,121,79,121,45,87,45,104,75
03/04/24,20:25:36,person,0.9949516654014589,0,152,32,161,32,129,0,129,16,157
03/04/24,20:25:36,person,0.9885463714599608,87,71,121,79,121,45,87,45,104,75
03/04/24,20:26:13,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:26:13,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:26:13,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:26:13,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:26:15,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/04/24,20:26:15,person,0.8453991413116455,186,122,215,129,215,100,186,100,200,126
03/04/24,20:26:17,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/04/24,20:26:17,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/04/24,20:26:17,person,0.7414425611495972,0,157,8,163,8,155,0,155,4,162
03/04/24,20:26:19,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/04/24,20:26:19,person,0.9142639636993408,186,119,216,126,216,96,186,96,201,123
03/04/24,20:26:19,person,0.8708076477050781,0,157,9,163,9,154,0,154,4,162
03/04/24,20:26:21,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/04/24,20:26:21,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/04/24,20:26:21,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/04/24,20:27:08,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:27:08,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:27:08,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:27:08,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:27:10,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/04/24,20:27:10,person,0.8453991413116455,186,122,215,129,215,100,186,100,200,126
03/04/24,20:27:12,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/04/24,20:27:12,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/04/24,20:27:12,person,0.7414425611495972,0,157,8,163,8,155,0,155,4,162
03/04/24,20:27:14,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/04/24,20:27:14,person,0.9142639636993408,186,119,216,126,216,96,186,96,201,123
03/04/24,20:27:14,person,0.8708076477050781,0,157,9,163,9,154,0,154,4,162
03/04/24,20:27:16,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/04/24,20:27:16,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/04/24,20:27:16,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/04/24,20:27:18,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/04/24,20:27:18,person,0.9463728666305542,0,148,11,154,11,143,0,143,5,153
03/04/24,20:27:18,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/04/24,20:27:20,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/04/24,20:27:20,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/04/24,20:27:20,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
03/04/24,20:28:25,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:28:25,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:28:25,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:28:25,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:28:27,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/04/24,20:28:27,person,0.8453991413116455,186,122,215,129,215,100,186,100,200,126
03/04/24,20:28:29,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/04/24,20:28:29,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/04/24,20:28:29,person,0.7414425611495972,0,157,8,163,8,155,0,155,4,162
03/04/24,20:28:31,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/04/24,20:28:31,person,0.9142639636993408,186,119,216,126,216,96,186,96,201,123
03/04/24,20:28:31,person,0.8708076477050781,0,157,9,163,9,154,0,154,4,162
03/04/24,20:28:34,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/04/24,20:28:34,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/04/24,20:28:34,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/04/24,20:28:36,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/04/24,20:28:36,person,0.9463728666305542,0,148,11,154,11,143,0,143,5,153
03/04/24,20:28:36,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/04/24,20:28:38,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/04/24,20:28:38,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/04/24,20:28:38,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
03/04/24,20:28:40,person,0.9875617623329164,81,75,115,83,115,49,81,49,98,79
03/04/24,20:28:40,person,0.9759254455566406,0,146,14,152,14,138,0,138,7,151
03/04/24,20:28:40,person,0.928288459777832,191,118,219,124,219,96,191,96,205,121
03/04/24,20:28:42,person,0.9853234887123108,81,75,116,83,116,48,81,48,98,79
03/04/24,20:28:42,person,0.9810000658035278,0,149,18,155,18,137,0,137,9,153
03/04/24,20:28:42,person,0.8667430877685547,194,118,221,125,221,98,194,98,207,122
03/04/24,20:28:45,person,0.9943439364433287,0,154,22,161,22,139,0,139,11,159
03/04/24,20:28:45,person,0.9912600517272948,83,73,117,81,117,47,83,47,100,77
03/04/24,20:28:45,person,0.7123606204986572,197,114,222,119,222,94,197,94,209,116
03/04/24,20:28:47,person,0.9951825737953186,0,156,24,163,24,139,0,139,12,160
03/04/24,20:28:47,person,0.9897590279579164,83,73,117,81,117,47,83,47,100,77
03/04/24,20:28:47,person,0.7876433730125427,109,43,135,49,135,23,109,23,122,46
03/04/24,20:28:47,person,0.698930025100708,197,114,224,120,224,93,197,93,210,117
03/04/24,20:28:49,person,0.9960561394691468,0,154,27,162,27,135,0,135,13,159
03/04/24,20:28:49,person,0.9903967976570128,87,71,121,79,121,45,87,45,104,75
03/04/24,20:29:14,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:29:14,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:29:14,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:29:14,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:29:16,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/04/24,20:29:16,person,0.8453991413116455,186,122,215,129,215,100,186,100,200,126
03/04/24,20:29:18,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/04/24,20:29:18,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/04/24,20:29:18,person,0.7414425611495972,0,157,8,163,8,155,0,155,4,162
03/04/24,20:29:20,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/04/24,20:29:20,person,0.9142639636993408,186,119,216,126,216,96,186,96,201,123
03/04/24,20:29:20,person,0.8708076477050781,0,157,9,163,9,154,0,154,4,162
03/04/24,20:29:22,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/04/24,20:29:22,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/04/24,20:29:22,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/04/24,20:29:25,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/04/24,20:29:25,person,0.9463728666305542,0,148,11,154,11,143,0,143,5,153
03/04/24,20:29:25,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/04/24,20:29:27,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/04/24,20:29:27,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/04/24,20:29:27,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
03/04/24,20:29:29,person,0.9875617623329164,81,75,115,83,115,49,81,49,98,79
03/04/24,20:29:29,person,0.9759254455566406,0,146,14,152,14,138,0,138,7,151
03/04/24,20:29:29,person,0.928288459777832,191,118,219,124,219,96,191,96,205,121
03/04/24,20:29:31,person,0.9853234887123108,81,75,116,83,116,48,81,48,98,79
03/04/24,20:29:31,person,0.9810000658035278,0,149,18,155,18,137,0,137,9,153
03/04/24,20:29:31,person,0.8667430877685547,194,118,221,125,221,98,194,98,207,122
03/04/24,20:29:33,person,0.9943439364433287,0,154,22,161,22,139,0,139,11,159
03/04/24,20:29:33,person,0.9912600517272948,83,73,117,81,117,47,83,47,100,77
03/04/24,20:29:33,person,0.7123606204986572,197,114,222,119,222,94,197,94,209,116
03/04/24,20:29:35,person,0.9951825737953186,0,156,24,163,24,139,0,139,12,160
03/04/24,20:29:35,person,0.9897590279579164,83,73,117,81,117,47,83,47,100,77
03/04/24,20:29:35,person,0.7876433730125427,109,43,135,49,135,23,109,23,122,46
03/04/24,20:29:35,person,0.698930025100708,197,114,224,120,224,93,197,93,210,117
03/04/24,20:29:38,person,0.9960561394691468,0,154,27,162,27,135,0,135,13,159
03/04/24,20:29:38,person,0.9903967976570128,87,71,121,79,121,45,87,45,104,75
03/04/24,20:29:40,person,0.9949516654014589,0,152,32,161,32,129,0,129,16,157
03/04/24,20:29:40,person,0.9885463714599608,87,71,121,79,121,45,87,45,104,75
03/04/24,20:29:42,person,0.9956984519958496,0,152,35,162,35,127,0,127,17,158
03/04/24,20:29:42,person,0.9899926781654358,88,74,120,81,120,49,88,49,104,77
03/04/24,20:29:42,person,0.6226562261581421,238,59,247,64,247,55,238,55,242,63
03/04/24,20:29:44,person,0.9965128898620604,0,153,38,163,38,125,0,125,19,159
03/04/24,20:29:44,person,0.9939998984336852,92,72,122,79,122,49,92,49,107,76
03/04/24,20:29:44,person,0.7623476982116699,241,60,247,64,247,58,241,58,244,64
03/04/24,20:29:46,person,0.9970781803131104,1,153,38,163,38,126,1,126,19,159
03/04/24,20:29:46,person,0.99194598197937,93,72,121,79,121,51,93,51,107,76
03/04/24,20:29:46,person,0.7528347969055176,238,72,247,76,247,67,238,67,242,75
03/04/24,20:29:46,person,0.6184250712394714,118,42,144,48,144,22,118,22,131,45
03/04/24,20:29:49,person,0.9900519847869872,2,155,38,165,38,129,2,129,20,161
03/04/24,20:29:49,person,0.9883819222450256,97,73,123,79,123,53,97,53,110,76
03/04/24,20:29:49,person,0.7427487373352051,239,79,247,85,247,77,239,77,243,84
03/04/24,20:29:49,person,0.6999375820159912,118,45,144,51,144,25,118,25,131,48
03/04/24,20:29:51,person,0.997270166873932,6,154,41,164,41,129,6,129,23,160
03/04/24,20:29:51,person,0.9837152361869812,97,70,125,77,125,49,97,49,111,74
03/04/24,20:29:51,person,0.7600095272064209,120,52,147,58,147,31,120,31,133,55
03/04/24,20:29:51,person,0.7100774049758911,240,79,247,85,247,78,240,78,243,85
03/04/24,20:29:53,person,0.998668372631073,7,155,39,163,39,131,7,131,23,159
03/04/24,20:29:53,person,0.9508062601089478,100,68,126,74,126,48,100,48,113,71
03/04/24,20:29:53,person,0.8822994232177734,122,49,151,56,151,27,122,27,136,53
03/04/24,20:29:53,person,0.8053008913993835,240,85,247,91,247,84,240,84,243,91
03/04/24,20:29:55,person,0.998315155506134,10,151,40,159,40,129,10,129,25,156
03/04/24,20:29:55,person,0.9846711754798888,0,93,3,98,3,95,0,95,1,98
03/04/24,20:29:55,person,0.9406181573867798,101,71,126,77,126,52,101,52,113,74
03/04/24,20:29:55,person,0.9206330180168152,128,47,155,53,155,26,128,26,141,50
03/04/24,20:29:55,person,0.8674737811088562,240,85,247,91,247,84,240,84,243,91
03/04/24,20:29:57,person,0.9975650906562804,12,152,39,159,39,132,12,132,25,156
03/04/24,20:29:57,person,0.989804744720459,0,95,3,101,3,98,0,98,1,101
03/04/24,20:29:57,person,0.967662274837494,101,71,126,77,126,52,101,52,113,74
03/04/24,20:29:57,person,0.95196133852005,132,42,159,48,159,21,132,21,145,45
03/04/24,20:29:57,person,0.8955373764038086,241,82,247,88,247,82,241,82,244,88
03/04/24,20:31:10,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
03/04/24,20:31:10,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
03/04/24,20:31:10,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
03/04/24,20:31:10,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
03/04/24,20:31:12,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
03/04/24,20:31:12,person,0.8453991413116455,186,122,215,129,215,100,186,100,200,126
03/04/24,20:31:15,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
03/04/24,20:31:15,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
03/04/24,20:31:15,person,0.7414425611495972,0,157,8,163,8,155,0,155,4,162
03/04/24,20:31:17,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
03/04/24,20:31:17,person,0.9142639636993408,186,119,216,126,216,96,186,96,201,123
03/04/24,20:31:17,person,0.8708076477050781,0,157,9,163,9,154,0,154,4,162
03/04/24,20:31:19,person,0.99629944562912,76,79,106,87,106,57,76,57,91,84
03/04/24,20:31:19,person,0.9099161028862,0,149,9,155,9,146,0,146,4,154
03/04/24,20:31:19,person,0.9070518612861632,188,120,216,126,216,98,188,98,202,123
03/04/24,20:31:21,person,0.9949703812599182,74,79,107,87,107,54,74,54,90,83
03/04/24,20:31:21,person,0.9463728666305542,0,148,11,154,11,143,0,143,5,153
03/04/24,20:31:21,person,0.9347140789031982,188,120,217,127,217,98,188,98,202,124
03/04/24,20:31:24,person,0.9866959452629088,76,71,111,79,111,44,76,44,93,75
03/04/24,20:31:24,person,0.9549985527992249,0,148,13,154,13,141,0,141,6,153
03/04/24,20:31:24,person,0.906617283821106,189,117,219,124,219,94,189,94,204,121
03/04/24,20:31:26,person,0.9875617623329164,81,75,115,83,115,49,81,49,98,79
03/04/24,20:31:26,person,0.9759254455566406,0,146,14,152,14,138,0,138,7,151
03/04/24,20:31:26,person,0.928288459777832,191,118,219,124,219,96,191,96,205,121
03/04/24,20:31:28,person,0.9853234887123108,81,75,116,83,116,48,81,48,98,79
03/04/24,20:31:28,person,0.9810000658035278,0,149,18,155,18,137,0,137,9,153
03/04/24,20:31:28,person,0.8667430877685547,194,118,221,125,221,98,194,98,207,122
03/04/24,20:31:30,person,0.9943439364433287,0,154,22,161,22,139,0,139,11,159
03/04/24,20:31:30,person,0.9912600517272948,83,73,117,81,117,47,83,47,100,77
03/04/24,20:31:30,person,0.7123606204986572,197,114,222,119,222,94,197,94,209,116
03/04/24,20:31:32,person,0.9951825737953186,0,156,24,163,24,139,0,139,12,160
03/04/24,20:31:32,person,0.9897590279579164,83,73,117,81,117,47,83,47,100,77
03/04/24,20:31:32,person,0.7876433730125427,109,43,135,49,135,23,109,23,122,46
03/04/24,20:31:32,person,0.698930025100708,197,114,224,120,224,93,197,93,210,117
03/04/24,20:31:35,person,0.9960561394691468,0,154,27,162,27,135,0,135,13,159
03/04/24,20:31:35,person,0.9903967976570128,87,71,121,79,121,45,87,45,104,75
03/04/24,20:31:37,person,0.9949516654014589,0,152,32,161,32,129,0,129,16,157
03/04/24,20:31:37,person,0.9885463714599608,87,71,121,79,121,45,87,45,104,75
03/04/24,20:31:39,person,0.9956984519958496,0,152,35,162,35,127,0,127,17,158
03/04/24,20:31:39,person,0.9899926781654358,88,74,120,81,120,49,88,49,104,77
03/04/24,20:31:39,person,0.6226562261581421,238,59,247,64,247,55,238,55,242,63
03/04/24,20:31:41,person,0.9965128898620604,0,153,38,163,38,125,0,125,19,159
03/04/24,20:31:41,person,0.9939998984336852,92,72,122,79,122,49,92,49,107,76
03/04/24,20:31:41,person,0.7623476982116699,241,60,247,64,247,58,241,58,244,64
03/04/24,20:31:44,person,0.9970781803131104,1,153,38,163,38,126,1,126,19,159
03/04/24,20:31:44,person,0.99194598197937,93,72,121,79,121,51,93,51,107,76
03/04/24,20:31:44,person,0.7528347969055176,238,72,247,76,247,67,238,67,242,75
03/04/24,20:31:44,person,0.6184250712394714,118,42,144,48,144,22,118,22,131,45
03/04/24,20:31:46,person,0.9900519847869872,2,155,38,165,38,129,2,129,20,161
03/04/24,20:31:46,person,0.9883819222450256,97,73,123,79,123,53,97,53,110,76
03/04/24,20:31:46,person,0.7427487373352051,239,79,247,85,247,77,239,77,243,84
03/04/24,20:31:46,person,0.6999375820159912,118,45,144,51,144,25,118,25,131,48
03/04/24,20:31:48,person,0.997270166873932,6,154,41,164,41,129,6,129,23,160
03/04/24,20:31:48,person,0.9837152361869812,97,70,125,77,125,49,97,49,111,74
03/04/24,20:31:48,person,0.7600095272064209,120,52,147,58,147,31,120,31,133,55
03/04/24,20:31:48,person,0.7100774049758911,240,79,247,85,247,78,240,78,243,85
03/04/24,20:31:50,person,0.998668372631073,7,155,39,163,39,131,7,131,23,159
03/04/24,20:31:50,person,0.9508062601089478,100,68,126,74,126,48,100,48,113,71
03/04/24,20:31:50,person,0.8822994232177734,122,49,151,56,151,27,122,27,136,53
03/04/24,20:31:50,person,0.8053008913993835,240,85,247,91,247,84,240,84,243,91
03/04/24,20:31:53,person,0.998315155506134,10,151,40,159,40,129,10,129,25,156
03/04/24,20:31:53,person,0.9846711754798888,0,93,3,98,3,95,0,95,1,98
03/04/24,20:31:53,person,0.9406181573867798,101,71,126,77,126,52,101,52,113,74
03/04/24,20:31:53,person,0.9206330180168152,128,47,155,53,155,26,128,26,141,50
03/04/24,20:31:53,person,0.8674737811088562,240,85,247,91,247,84,240,84,243,91
04/04/24,17:13:55,person,0.9977907538414,70,72,97,79,97,52,70,52,83,76
04/04/24,17:13:55,person,0.9804568886756896,245,80,247,86,247,84,245,84,246,86
04/04/24,17:13:55,person,0.9484179615974426,0,153,8,161,8,153,0,153,4,160
04/04/24,17:13:55,person,0.6156817078590393,185,122,214,128,214,99,185,99,199,125
04/04/24,17:13:58,person,0.9862701892852784,70,75,101,83,101,52,70,52,85,80
04/04/24,17:13:58,person,0.8453991413116455,186,122,215,129,215,100,186,100,200,126
04/04/24,17:14:00,person,0.989969789981842,73,84,101,91,101,63,73,63,87,88
04/04/24,17:14:00,person,0.9332403540611268,186,122,215,129,215,100,186,100,200,126
04/04/24,17:14:00,person,0.7414425611495972,0,157,8,163,8,155,0,155,4,162
04/04/24,17:14:02,person,0.9951000213623048,76,79,104,86,104,58,76,58,90,83
04/04/24,17:14:02,person,0.9142639636993408,186,119,216,126,216,96,186,96,201,123
